Ref,Val,Package,PosX,PosY,Rot,Side
"R61","100R 0402","R_0402_1005Metric",249.000000,-134.090000,90.000000,top
"R62","100R 0402","R_0402_1005Metric",247.800000,-134.090000,90.000000,top
"R66","330R 0402","R_0402_1005Metric",216.800000,36.300000,-90.000000,top
"R68","330R 0402","R_0402_1005Metric",218.900000,36.390000,-90.000000,top
"R70","220R 0402","R_0402_1005Metric",217.800000,34.400000,90.000000,top
"R71","4.7K 0402","R_0402_1005Metric",231.400000,35.910000,90.000000,top
"R72","47K 0402","R_0402_1005Metric",253.600000,-162.000000,-90.000000,top
"R73","10K 0402","R_0402_1005Metric",253.700000,-166.400000,90.000000,top
"RV1","200R","POT_BOURNS_TC33X2201E",220.800000,19.125000,0.000000,top
"RV2","200R","POT_BOURNS_TC33X2201E",221.250000,-2.875000,0.000000,top
"S3","PBH2UEESNPNAGX","BTN_ESWITCH_PBH2UXXSNPNAGX",240.800000,34.300000,0.000000,top
"SW1","BTN_OMRON_B3S-1100P","SW_SPST_B3S-1100",224.500000,-145.300000,90.000000,top
"SW2","BTN_OMRON_B3S-1100P","SW_SPST_B3S-1100",233.500000,-135.500000,90.000000,top
"TP1","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",238.000000,-167.300000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",254.700000,-144.300000,90.000000,top
"TP3","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",255.500000,-138.000000,90.000000,top
"TP4","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",214.500000,-137.000000,0.000000,top
"TP5","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",219.500000,-137.000000,0.000000,top
"TP6","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",224.500000,-137.000000,0.000000,top
"TP7","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",228.600000,-102.000000,180.000000,top
"TP8","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",223.400000,-102.525000,180.000000,top
"TP9","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",260.600000,-102.000000,180.000000,top
"TP10","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",232.600000,-98.000000,0.000000,top
"TP13","TestPoint","TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded",228.000000,-167.400000,0.000000,top
"U1","IC_TEXAS_TPD4S201TRGRRQ1","IC_TEXAS_TPD4S201TRGR",249.040000,-151.812000,0.000000,top
